,,LIvro de Preço,,,,,
C.INTERNO,PRODUTO,,C.BARRAS,UN,REFERENCIA,MARCA,PREÇO
0000251,LUXLAR  ESMALTE SINT. VERDE ,7908147603388,UN, ,DIVERSOS,33.50
0000252,DACOL ESMALTE SINT. BRANCO NEVE ,41314115000013,UN, ,DIVERSOS,21.00
0000253,VERNIZ EXTRARRAPIDO INCOLOR,7892948000043,UN, ,DIVERSOS,30.00
0000255,VERNIZ UNIV. MOGNO BRILHANTE ,7891696007953,UN, ,DIVERSOS,25.20
0000256,GALVINZADOS IQUINE BRANCO ,7892948008063,UN, ,DIVERSOS,38.50
0000257,VERNIZ EUCATEX  COPAL INCOLOR ,7896587020172,UN, ,DIVERSOS,38.00
0000259,EUCALAR ESMALTE SINT. AMARELO ,7896587002604,UN, ,DIVERSOS,21.00
0000261,PERFIL PVC COLONIAL BCO 6M,20000646,UN,RODA FORRO,DIVERSOS,45.00
0000262,FORRO PVC 200X8 DPL BAHIA MCF03 ,20000356,M2,495.0,DIVERSOS,27.00
0000263,PECA MISTA 7MT 11X5,1000000263527,UN,,DIVERSOS,235.00
0000265,BARROTE 4.5MT 5X3,1000000265002,UN,,DIVERSOS,33.50
0000267,EXPANFIX MANUAL W-MAX WURTH ,4058794169454,UN, ,DIVERSOS,19.01
0000269,MANTA TERMICA DRYKO 30CMX10MT,7898959829451,UN,089418,DIVERSOS,71.00
0000270,MANTA TERMICA DRYKO 20CMX10MT,7898959829444,UN,089417,DIVERSOS,49.00
24/10/2025 - 001,,,,,,
C.INTERNO,PRODUTO,C.BARRAS,UN,REFERENCIA,MARCA,PREÇO
0000271,MANTA TERMICA DRYKO 15CMX10MT,7898959829437,UN, ,DIVERSOS,31.02
0000272,BIANCO/ VEDACIT 1KG,7897321123906,UN, ,DIVERSOS,30.00
0000273,VEDACIT ADITIVO ,7897321117844,UN,60172,DIVERSOS,43.00
0000274,VEDALIT ADITIVO PLASTIFICANTE  1LT,7897321118322,UN, ,DIVERSOS,15.08
0000275,ARAME RECOZIDO TORCIDO 1KG ,7898394634160,UN,,DIVERSOS,20.00
0000276,VEDA CALHA ALUMINIO 270G,7898949043195,UN,,DIVERSOS,17.01
0000277,SILICONE ACETICO W-MAX WURTH ,4058794348897,UN, ,DIVERSOS,6.01
0000278,DIALINE SECA RAPIDO PRETO FOSCO ,7892948026005,UN, ,DIVERSOS,18.20
0000279,TINTA SPRAY WURTH PRETO FOSCO ,4058794224238,UN,WURTH,DIVERSOS,22.00
0000280,TINTA SPRAY WURTH DOURADO 250G,4058794217131,UN,WURTH,DIVERSOS,15.00
0000281,TINTA SPRAY WURTH ALUMINIO 250G,4058794224207,UN,WURTH,DIVERSOS,22.00
0000282,TINTA SPRAY WURTH GRAFITE 250G,4058794217032,UN,WURTH,DIVERSOS,15.00
0000283,TINTA SPRAY WURTH VERMELHO ,4058794217117,UN,WURTH,DIVERSOS,22.00
0000284,DESENGRIPANTE W-MAX 200G,7891799529031,UN,5986113300,DIVERSOS,14.50
0000285,TINTA SPRAY METALICA PRATA 235G,7898436142639,UN, ,DIVERSOS,20.02
0000286,TINTA SPRAY MULTIUSO AMARELA ,7898949043881,UN, ,DIVERSOS,15.00
0000287,REMOVEDOR DE TINTAS CHEMI ,7898436143032,UN, ,DIVERSOS,22.02
